,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
34,Testbed,2024-10-02,Pre,14.3,7,142.3127787,1.60344040393829,0.699726581573486,0.684236466884613,1.04945945739746,0.823318898677825,2258.018106
35,Testbed,2024-10-02,Pre,14.3,8,127.6508053,1.54489934444427,0.679601967334747,0.667984187602996,1.01927626132965,0.809218823909759,1901.618667
36,Testbed,2024-10-02,Pre,14.3,9,120.3835664,1.51816856861114,0.679677665233612,0.667500019073486,1.01938819885253,0.809272229671478,1815.406645
37,Testbed,2024-10-02,Pre,14.3,10,125.9368,1.57253539562225,0.700775563716888,0.672736227512359,1.05103194713592,0.824044585227966,2328.062796
38,Testbed,2024-10-02,Pre,14.2,1,106.2054612,1.66367006301879,0.718514919281005,0.692638635635376,1.07764160633087,0.836185097694397,958.8899068
39,Testbed,2024-10-02,Pre,14.2,2,136.2588026,1.61624896526336,0.713740468025207,0.693940103054046,1.07048296928405,0.83294278383255,1834.240141
40,Testbed,2024-10-02,Pre,14.2,3,108.3118481,1.64976370334625,0.702576696872711,0.676655411720275,1.05373573303222,0.825289130210876,2037.728597
41,Testbed,2024-10-02,Pre,14.2,4,123.7409458,1.56727480888366,0.685707151889801,0.665352404117584,1.02843248844146,0.813531875610351,2134.072355
42,Testbed,2024-10-02,Pre,14.2,5,138.3041328,1.57122290134429,0.699975311756134,0.67395532131195,1.04983353614807,0.823491215705871,2042.672979
43,Testbed,2024-10-02,Pre,14.2,6,134.7590785,1.57660293579101,0.685874581336975,0.658389747142791,1.02868068218231,0.813649177551269,1978.430072
44,Testbed,2024-10-02,Pre,14.2,7,121.9530511,1.5785756111145,0.694099366664886,0.66310977935791,1.04101431369781,0.819409132003784,1605.411782
45,Testbed,2024-10-02,Pre,14.2,8,145.2451733,1.51432621479034,0.683718621730804,0.665693402290344,1.02545189857482,0.812130808830261,2007.836753
46,Testbed,2024-10-02,Pre,14.2,9,110.5639672,1.55301344394683,0.689031958580017,0.676991164684295,1.03341996669769,0.815867722034454,1534.123915
47,Testbed,2024-10-02,Pre,14.2,10,123.3526378,1.52971422672271,0.686586320400238,0.669459283351898,1.02974736690521,0.814149737358093,1667.247635
48,Testbed,2024-10-02,Pre,14.1,1,112.5000996,1.67896676063537,0.728353142738342,0.699499189853668,1.09239721298217,0.84281051158905,2402.041493
49,Testbed,2024-10-02,Pre,14.1,2,124.8590049,1.6660805940628,0.711639523506164,0.690064251422882,1.0673257112503,0.831509172916412,1991.938224
50,Testbed,2024-10-02,Pre,14.1,3,123.2522133,1.55164682865142,0.690428733825683,0.677467226982116,1.03551399707794,0.816846132278442,2776.010101
51,Testbed,2024-10-02,Pre,14.1,4,100.4446993,1.61281085014343,0.697645604610443,0.672771692276001,1.0463387966156,0.821876466274261,1818.785841
52,Testbed,2024-10-02,Pre,14.1,5,109.414976,1.64455187320709,0.712893009185791,0.688611268997192,1.0692092180252,0.832364916801452,2317.06237
53,Testbed,2024-10-02,Pre,14.1,6,117.9695906,1.52147305011749,0.691879570484161,0.672418117523193,1.03768813610076,0.81786048412323,2366.488635
54,Testbed,2024-10-02,Pre,14.1,7,121.715071,1.56415748596191,0.69788521528244,0.668480932712554,1.04669606685638,0.822042346000671,1885.804347
55,Testbed,2024-10-02,Pre,14.1,8,127.714553,1.59186375141143,0.705536484718322,0.681236445903778,1.05817508697509,0.827327966690063,2162.835464
56,Testbed,2024-10-02,Pre,14.1,9,116.58768,1.68398058414459,0.715575635433197,0.674008786678314,1.07322883605957,0.834190309047699,2026.90793
57,Testbed,2024-10-02,Pre,14.1,10,86.31531897,1.51709640026092,0.694177210330963,0.670077383518219,1.04113399982452,0.819463849067688,1360.330446
58,Testbed,2024-10-02,Pre,28.1,1,162.7871771,1.60655546188354,0.691819310188293,0.680737495422363,1.03760230541229,0.817819118499755,2696.474665
59,Testbed,2024-10-02,Pre,28.1,2,174.294208,1.58866727352142,0.705181241035461,0.678237974643707,1.05764317512512,0.827083706855773,2740.571289
