interval_from,interval_to,LST_min_K,LST_max_K,LST_mean_K,LST_stDev_K,Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2025-05-09,2025-05-10,298.3599853515625,300.9800109863281,298.8463734388342,0.7590689979776154,65536,0,298.6700134277344
2025-05-11,2025-05-12,301.4800109863281,304.55999755859375,302.0682414770129,0.8885809294811412,65536,0,301.8699951171875
2025-05-12,2025-05-13,301.42999267578125,304.5299987792969,302.02043247222764,0.8947174432510676,65536,0,301.82000732421875
2025-05-13,2025-05-14,301.1600036621094,304.2099914550781,301.74495303630675,0.8793817419566642,65536,0,301.54998779296875
2025-05-14,2025-05-15,306.0899963378906,309.8399963378906,306.80953466892055,1.0811370521558676,65536,0,306.57000732421875
2025-05-15,2025-05-16,306.32000732421875,310.1099853515625,307.0438985824591,1.0934004675216173,65536,0,306.79998779296875
2025-05-16,2025-05-17,305.5899963378906,309.2900085449219,306.2911640405659,1.068688555418875,65536,0,306.04998779296875
2025-05-18,2025-05-19,303.6400146484375,307.04998779296875,304.2901241779329,0.9840379937305046,65536,0,304.07000732421875
2025-05-19,2025-05-20,302.8699951171875,306.17999267578125,303.4962862730013,0.9562576517515416,65536,0,303.2799987792969
2025-05-20,2025-05-21,298.69000244140625,301.4100036621094,299.20664083957706,0.7853608720385439,65536,0,299.0299987792969
2025-05-21,2025-05-22,298.3599853515625,300.95001220703125,298.9977735280975,0.7224427866504634,65536,0,298.9100036621094
2025-05-22,2025-05-23,297.5899963378906,300.0799865722656,298.2168430089959,0.6929484500701241,65536,0,298.1400146484375
2025-05-23,2025-05-24,299.20001220703125,301.760009765625,299.9762939214672,0.7044976976924802,65536,0,299.9700012207031
2025-05-25,2025-05-26,289.489990234375,290.8500061035156,289.9223372936251,0.3743839956432549,65536,0,289.92999267578125
2025-05-27,2025-05-28,298.6099853515625,301.0799865722656,299.4022301435519,0.6801037095468468,65536,0,299.4200134277344
2025-05-28,2025-05-29,296.2699890136719,298.489990234375,296.98976814746635,0.6114960748445959,65536,0,297.010009765625
2025-05-29,2025-05-30,288.9200134277344,290.20001220703125,289.3435889482489,0.3529146676998366,65536,0,289.3599853515625
2025-05-30,2025-05-31,302.2200012207031,305.1400146484375,303.1903605461134,0.8052859114311045,65536,0,303.2300109863281
2025-05-31,2025-06-01,305.6499938964844,308.8299865722656,306.7970377206781,0.8839646720587654,65536,0,306.8900146484375
2025-06-01,2025-06-02,305.5899963378906,308.7300109863281,306.7390995025645,0.8746689698010407,65536,0,306.8399963378906
