interval_from,interval_to,SWC_min(m3/m3),SWC_max(m3/m3),SWC_mean(m3/m3),SWC_stDev(m3/m3),Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
10/9/2024,10/10/2024,0.144999996,0.165000007,0.158300787,0.005518381,65536,0,0.158000007
10/10/2024,10/11/2024,0.175999999,0.195999995,0.188011722,0.0056696,65536,0,0.187000006
10/12/2024,10/13/2024,0.144999996,0.167999998,0.158394534,0.006601713,65536,0,0.157000005
10/14/2024,10/15/2024,0.199000001,0.224999994,0.213777341,0.007544219,65536,0,0.211999997
10/15/2024,10/16/2024,0.141000003,0.164000005,0.153749998,0.006753473,65536,0,0.151999995
10/17/2024,10/18/2024,0.138999999,0.165000007,0.15313281,0.007709445,65536,0,0.150999993
10/18/2024,10/19/2024,0.159999996,0.184,0.172996096,0.007130206,65536,0,0.171000004
10/20/2024,10/21/2024,0.150000006,0.177000001,0.163089842,0.008515366,65536,0,0.159999996
10/22/2024,10/23/2024,0.156000003,0.180999994,0.167953128,0.007945965,65536,0,0.165000007
10/23/2024,10/24/2024,0.149000004,0.175999999,0.161445317,0.008759196,65536,0,0.158000007
10/25/2024,10/26/2024,0.238000005,0.270999998,0.249988283,0.012144146,65536,0,0.244000003
10/26/2024,10/27/2024,0.226999998,0.252000004,0.235085941,0.009707059,65536,0,0.230000004
10/28/2024,10/29/2024,0.174999997,0.201000005,0.183332034,0.010135948,65536,0,0.178000003
10/30/2024,10/31/2024,0.218999997,0.247999996,0.228714846,0.011085986,65536,0,0.223000005
10/31/2024,11/1/2024,0.284000009,0.317000002,0.295343754,0.012467103,65536,0,0.289000005
11/2/2024,11/3/2024,0.280999988,0.307000011,0.289976562,0.009802721,65536,0,0.284999996
11/3/2024,11/4/2024,0.333000004,0.367000014,0.34523437,0.012570116,65536,0,0.338999987
11/5/2024,11/6/2024,0.317000002,0.354000002,0.329328124,0.014178611,65536,0,0.321999997
11/7/2024,11/8/2024,0.293000013,0.326999992,0.304589848,0.012894689,65536,0,0.298000008
11/8/2024,11/9/2024,0.31400001,0.349999994,0.328015623,0.012796472,65536,0,0.321999997
11/10/2024,11/11/2024,0.324999988,0.367000014,0.340492192,0.015341176,65536,0,0.333000004
11/11/2024,11/12/2024,0.331,0.363999993,0.34363281,0.011831741,65536,0,0.338
11/13/2024,11/14/2024,0.305000007,0.333000004,0.31640235,0.009721423,65536,0,0.312000006
11/15/2024,11/16/2024,0.345999986,0.381000012,0.360414057,0.012079194,65536,0,0.354999989
11/16/2024,11/17/2024,0.335999995,0.372999996,0.350906248,0.012919484,65536,0,0.344999999
11/18/2024,11/19/2024,0.32100001,0.367000014,0.340699218,0.015543524,65536,0,0.333999991
11/19/2024,11/20/2024,0.363999993,0.404000014,0.381578119,0.013325626,65536,0,0.375999987
11/21/2024,11/22/2024,0.331,0.360000014,0.343937506,0.00958087,65536,0,0.340000004
11/23/2024,11/24/2024,0.319000006,0.347000003,0.331046871,0.009437179,65536,0,0.326999992
11/24/2024,11/25/2024,0.328000009,0.358999997,0.342718742,0.009891551,65536,0,0.338999987
11/26/2024,11/27/2024,0.307000011,0.333000004,0.319843753,0.008114837,65536,0,0.317000002
11/27/2024,11/28/2024,0.324999988,0.354000002,0.339226559,0.00908615,65536,0,0.335999995
11/29/2024,11/30/2024,0.31099999,0.338999987,0.324335939,0.008918704,65536,0,0.32100001
12/1/2024,12/2/2024,0.300999999,0.345999986,0.323031239,0.014115003,65536,0,0.317999989
12/2/2024,12/3/2024,0.280999988,0.324000001,0.301894524,0.013544225,65536,0,0.296999991
12/4/2024,12/5/2024,0.300000012,0.351999998,0.325687496,0.016229674,65536,0,0.319999993
12/5/2024,12/6/2024,0.312999994,0.342999995,0.328117178,0.009261077,65536,0,0.324999988
12/7/2024,12/8/2024,0.294,0.326999992,0.311789051,0.009826743,65536,0,0.308999985
12/9/2024,12/10/2024,0.342999995,0.395000011,0.373199224,0.014943497,65536,0,0.370000005
12/10/2024,12/11/2024,0.317999989,0.349999994,0.336832034,0.009144622,65536,0,0.335000008
12/12/2024,12/13/2024,0.289999992,0.319000006,0.308093758,0.00811484,65536,0,0.307000011
12/13/2024,12/14/2024,0.27700001,0.308999985,0.296476552,0.009027266,65536,0,0.294999987
12/15/2024,12/16/2024,0.349000007,0.395999998,0.378613284,0.013114385,65536,0,0.377000004
12/17/2024,12/18/2024,0.463999987,0.524999976,0.504148444,0.01685674,65536,0,0.503000021
12/18/2024,12/19/2024,0.386000007,0.432999998,0.414968742,0.013202116,65536,0,0.412999988
12/20/2024,12/21/2024,0.338999987,0.370999992,0.360410162,0.008822897,65536,0,0.360000014
12/21/2024,12/22/2024,0.30399999,0.337000012,0.326300786,0.009089801,65536,0,0.326000005
12/23/2024,12/24/2024,0.352999985,0.389999986,0.378218739,0.010185727,65536,0,0.377999991
12/25/2024,12/26/2024,0.352999985,0.395999998,0.382273435,0.011838246,65536,0,0.381999999
12/26/2024,12/27/2024,0.344999999,0.400999993,0.383273427,0.015414184,65536,0,0.382999986
12/29/2024,12/30/2024,0.342999995,0.395999998,0.379890621,0.014585007,65536,0,0.379999995
12/31/2024,1/1/2025,0.338999987,0.397000015,0.379699218,0.015965282,65536,0,0.379999995
1/2/2025,1/3/2025,0.333999991,0.372999996,0.361644522,0.010742486,65536,0,0.361999989
1/3/2025,1/4/2025,0.321999997,0.352999985,0.34445312,0.008562141,65536,0,0.344999999
1/5/2025,1/6/2025,0.361000001,0.467999995,0.431804691,0.02954381,65536,0,0.430000007
1/6/2025,1/7/2025,0.231000006,0.280999988,0.267152346,0.013805998,65536,0,0.268000007
1/8/2025,1/9/2025,0.268999994,0.31400001,0.301343743,0.012414359,65536,0,0.301999986
1/10/2025,1/11/2025,0.25,0.31400001,0.296042965,0.017658274,65536,0,0.296999991
1/11/2025,1/12/2025,0.248999998,0.31400001,0.29593359,0.017943912,65536,0,0.296999991
1/13/2025,1/14/2025,0.360000014,0.42899999,0.40727344,0.018990622,65536,0,0.407000005
