Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Acc_Gdd,Total Biomass (kg/ha)
Testbed,11/1/2024,Pre,28.2,14,36.29,1.16,0.44,0.47,0.67,0.62,3774.59,1657.59
Testbed,11/1/2024,Pre,28.2,15,35.57,1.18,0.45,0.48,0.67,0.62,3774.59,1207.35
Testbed,11/1/2024,Pre,28.2,16,21.82,1.19,0.46,0.49,0.68,0.63,3774.59,1180.66
Testbed,11/1/2024,Pre,28.2,17,42.63,1.2,0.46,0.48,0.69,0.63,3774.59,1197.2
Testbed,11/1/2024,Pre,28.2,18,41.13,1.21,0.45,0.48,0.68,0.62,3774.59,1366.42
Testbed,11/1/2024,Pre,28.2,19,31.75,1.22,0.46,0.48,0.69,0.63,3774.59,1572.6
Testbed,11/1/2024,Pre,28.2,20,30.23,1.24,0.46,0.48,0.69,0.63,3774.59,1444.04
Testbed,11/1/2024,Pre,28.2,21,51.62,1.31,0.48,0.49,0.72,0.65,3774.59,1414.29
Testbed,11/1/2024,Pre,28.2,22,41.46,1.24,0.46,0.49,0.69,0.63,3774.59,1556.77
Testbed,11/1/2024,Pre,28.3,1,21.17,1.27,0.48,0.5,0.71,0.64,3774.59,1388.61
Testbed,11/1/2024,Pre,28.3,2,20.35,1.33,0.48,0.49,0.71,0.64,3774.59,1310.27
Testbed,11/1/2024,Pre,28.3,3,26.9,1.07,0.43,0.47,0.64,0.6,3774.59,1316.51
Testbed,11/1/2024,Pre,28.3,4,44.52,1.21,0.44,0.46,0.67,0.62,3774.59,1668.59
Testbed,11/1/2024,Pre,28.3,5,40.15,1.18,0.45,0.46,0.67,0.62,3774.59,1634.53
Testbed,11/1/2024,Pre,28.3,6,30.98,1.16,0.45,0.47,0.67,0.62,3774.59,1088.74
Testbed,11/1/2024,Pre,28.3,7,43,1.21,0.44,0.47,0.66,0.61,3774.59,1139.12
Testbed,11/1/2024,Pre,28.3,8,41.15,1.2,0.45,0.47,0.67,0.62,3774.59,1161.3
Testbed,11/1/2024,Pre,28.3,9,34.76,1.22,0.45,0.47,0.67,0.62,3774.59,1582.87
Testbed,11/1/2024,Pre,28.3,10,30.62,1.14,0.45,0.48,0.67,0.62,3774.59,1899.48
Testbed,11/1/2024,Pre,28.3,11,28.92,1.23,0.45,0.48,0.68,0.62,3774.59,1678.71
Testbed,11/1/2024,Pre,28.3,12,39.18,1.15,0.45,0.47,0.67,0.62,3774.59,1290.92
Testbed,11/1/2024,Pre,28.3,13,40.27,1.22,0.44,0.47,0.67,0.61,3774.59,1525.34
Testbed,11/1/2024,Pre,28.3,14,36.87,1.22,0.46,0.48,0.69,0.63,3774.59,1544.57
Testbed,11/1/2024,Pre,28.3,15,51.81,1.1,0.44,0.48,0.66,0.61,3774.59,1094.18
Testbed,11/1/2024,Pre,28.3,16,35.87,1.18,0.45,0.48,0.68,0.62,3774.59,1096.17
Testbed,11/1/2024,Pre,28.3,17,25.59,1.18,0.43,0.46,0.65,0.61,3774.59,1135.64
Testbed,11/1/2024,Pre,28.3,18,35.65,1.26,0.47,0.49,0.7,0.64,3774.59,1097.8
Testbed,11/1/2024,Pre,28.3,19,48.95,1.19,0.46,0.49,0.69,0.63,3774.59,1480.69
Testbed,11/1/2024,Pre,28.3,20,34.19,1.27,0.47,0.48,0.7,0.64,3774.59,1225.3
Testbed,11/1/2024,Pre,28.3,21,31.75,1.14,0.44,0.47,0.65,0.61,3774.59,1128.84
Testbed,11/1/2024,Pre,28.3,22,34.59,1.19,0.46,0.49,0.69,0.63,3774.59,1338.21
Testbed,11/1/2024,Pre,28.4,1,47.7,1.24,0.47,0.49,0.7,0.63,3774.59,1403.47
Testbed,11/1/2024,Pre,28.4,2,39.87,1.25,0.47,0.49,0.71,0.64,3774.59,1341.72
Testbed,11/1/2024,Pre,28.4,3,48.6,1.19,0.46,0.48,0.69,0.63,3774.59,1331.69
Testbed,11/1/2024,Pre,28.4,4,38.99,1.22,0.46,0.48,0.69,0.63,3774.59,1189.61
Testbed,11/1/2024,Pre,28.4,5,47.89,1.21,0.46,0.48,0.68,0.63,3774.59,1307.53
Testbed,11/1/2024,Pre,28.4,6,37.43,1.21,0.46,0.47,0.69,0.63,3774.59,1866.56
Testbed,11/1/2024,Pre,28.4,7,31.72,1.18,0.45,0.48,0.68,0.62,3774.59,1388.43
Testbed,11/1/2024,Pre,28.4,8,29.63,1.19,0.46,0.48,0.7,0.63,3774.59,1288.75
Testbed,11/1/2024,Pre,28.4,9,38.61,1.16,0.45,0.47,0.68,0.62,3774.59,1254.77
Testbed,11/1/2024,Pre,28.4,10,26.22,1.22,0.46,0.48,0.69,0.63,3774.59,1201.29
Testbed,11/1/2024,Pre,28.4,11,38.05,1.18,0.45,0.47,0.68,0.62,3774.59,1334.56
Testbed,11/1/2024,Pre,28.4,12,35.49,1.23,0.46,0.48,0.69,0.63,3774.59,1169.12
Testbed,11/1/2024,Pre,28.4,13,55.81,1.13,0.44,0.47,0.67,0.62,3774.59,1377.02
Testbed,11/1/2024,Pre,28.4,14,44.5,1.19,0.45,0.47,0.68,0.63,3774.59,1345.24
Testbed,11/1/2024,Pre,28.4,15,34.85,1.16,0.45,0.47,0.67,0.62,3774.59,1344.31
Testbed,11/1/2024,Pre,28.4,16,40.02,1.19,0.45,0.47,0.67,0.62,3774.59,1396.73
Testbed,11/1/2024,Pre,28.4,17,40.98,1.06,0.43,0.46,0.65,0.6,3774.59,1595.31
Testbed,11/1/2024,Pre,28.4,18,34.88,1.15,0.44,0.46,0.67,0.61,3774.59,1663.27
Testbed,11/1/2024,Pre,28.4,19,40.84,1.1,0.44,0.46,0.65,0.61,3774.59,1356.82
Testbed,11/1/2024,Pre,28.4,20,41.15,1.1,0.44,0.46,0.65,0.61,3774.59,1431.21
Testbed,11/1/2024,Pre,28.4,21,44.63,1.02,0.42,0.46,0.63,0.59,3774.59,1476.08
Testbed,11/1/2024,Pre,28.4,22,39.54,1.13,0.44,0.46,0.66,0.61,3774.59,1893.92
SHTFG,8/24/2018,Pre,121_1,12,33,1.71,0.58,0.59,0.88,0.74,2471.35,1247
SHTFG,8/10/2018,Pre,214_1,8,58,1.3,0.63,0.67,0.95,0.78,2209.95,2172
SHTFG,8/10/2018,Pre,211_2,2,47,1.29,0.61,0.65,0.92,0.76,2209.95,1775
SHTFG,8/24/2018,Pre,121_1,10,32,1.6,0.56,0.57,0.83,0.72,2471.35,1175
SHTFG,8/24/2018,Pre,211_1,6,57,1.63,0.59,0.6,0.88,0.74,2471.35,2109
SHTFG,8/10/2018,Pre,214_1,9,33,1.17,0.57,0.63,0.86,0.73,2209.95,1192
SHTFG,8/10/2018,Pre,214_1,4,56,1.33,0.64,0.67,0.96,0.78,2209.95,2036
SHTFG,8/10/2018,Pre,211_2,8,99,1.48,0.68,0.7,1.02,0.81,2209.95,3551
SHTFG,8/10/2018,Pre,121_1,4,55,1.18,0.59,0.64,0.89,0.74,2209.95,1970
SHTFG,8/24/2018,Pre,211_1,11,40,1.61,0.57,0.58,0.86,0.73,2471.35,1435
SHTFG,8/24/2018,Pre,121_2,8,35,1.63,0.57,0.58,0.86,0.73,2471.35,1214
SHTFG,8/24/2018,Pre,211_2,3,67,1.88,0.63,0.62,0.95,0.77,2471.35,2321
SHTFG,8/24/2018,Pre,211_2,10,39,1.73,0.59,0.61,0.89,0.74,2471.35,1341
SHTFG,11/7/2018,Pre,111_2,7,81,1.62,0.67,0.68,1.01,0.8,3358.76,2787
SHTFG,8/10/2018,Pre,121_2,10,62,1.34,0.65,0.68,0.97,0.79,2209.95,2127
SHTFG,8/10/2018,Pre,214_2,1,103,1.54,0.71,0.72,1.06,0.83,2209.95,3524
SHTFG,8/10/2018,Pre,211_2,1,28,1.21,0.58,0.63,0.86,0.73,2209.95,955
SHTFG,8/10/2018,Pre,211_1,9,40,1.37,0.63,0.67,0.95,0.78,2209.95,1325
SHTFG,8/10/2018,Pre,214_1,10,36,1.28,0.6,0.64,0.9,0.75,2209.95,1172
SHTFG,8/24/2018,Pre,121_1,5,40,1.53,0.55,0.57,0.83,0.71,2471.35,1291
SHTFG,8/24/2018,Pre,211_1,7,54,1.64,0.59,0.6,0.89,0.74,2471.35,1738
SHTFG,8/10/2018,Pre,111_2,3,97,1.45,0.68,0.71,1.02,0.81,2209.95,3092
SHTFG,8/24/2018,Pre,111_2,6,103,1.8,0.61,0.62,0.91,0.76,2471.35,3285
SHTFG,8/10/2018,Pre,211_1,6,50,1.3,0.62,0.66,0.93,0.77,2209.95,1585
SHTFG,8/10/2018,Pre,214_1,5,58,1.32,0.63,0.66,0.94,0.77,2209.95,1832
SHTFG,8/10/2018,Pre,214_1,12,29,1.15,0.57,0.62,0.85,0.72,2209.95,918
SHTFG,8/24/2018,Pre,211_2,4,93,1.8,0.62,0.62,0.93,0.77,2471.35,2963
SHTFG,11/7/2018,Pre,111_1,8,72,1.29,0.58,0.61,0.87,0.73,3358.76,2242
SHTFG,8/24/2018,Pre,111_2,5,103,1.82,0.62,0.62,0.93,0.77,2471.35,3237
SHTFG,8/10/2018,Pre,111_2,1,56,1.34,0.63,0.66,0.94,0.77,2209.95,1756
SHTFG,8/24/2018,Pre,121_2,6,92,1.71,0.6,0.61,0.9,0.75,2471.35,2860
SHTFG,8/10/2018,Pre,211_2,10,28,1.12,0.56,0.62,0.83,0.71,2209.95,877
SHTFG,8/10/2018,Pre,211_1,2,28,1.11,0.55,0.62,0.83,0.71,2209.95,863
SHTFG,8/10/2018,Pre,121_1,12,28,1.17,0.55,0.6,0.83,0.71,2209.95,858
SHTFG,8/10/2018,Pre,121_1,3,33,1.07,0.53,0.59,0.8,0.7,2209.95,1009
SHTFG,8/10/2018,Pre,211_2,7,96,1.48,0.69,0.71,1.04,0.82,2209.95,2904
SHTFG,8/24/2018,Pre,211_1,5,58,1.72,0.59,0.6,0.88,0.74,2471.35,1750
SHTFG,8/10/2018,Pre,214_1,7,63,1.32,0.64,0.67,0.96,0.78,2209.95,1903
SHTFG,8/10/2018,Pre,121_1,8,55,1.16,0.58,0.64,0.87,0.73,2209.95,1656
SHTFG,8/10/2018,Pre,214_2,10,40,1.3,0.62,0.66,0.93,0.77,2209.95,1199
SHTFG,8/10/2018,Pre,111_1,1,36,1.19,0.59,0.64,0.88,0.74,2209.95,1075
SHTFG,8/10/2018,Pre,214_2,2,104,1.53,0.7,0.72,1.05,0.82,2209.95,3093
SHTFG,8/10/2018,Pre,111_1,10,65,1.4,0.65,0.68,0.98,0.79,2209.95,1926
SHTFG,8/24/2018,Pre,121_1,13,47,1.64,0.58,0.59,0.87,0.73,2471.35,1379
SHTFG,8/24/2018,Pre,121_1,8,57,1.66,0.58,0.59,0.86,0.73,2471.35,1678
SHTFG,9/12/2018,Pre,111_1,13,68,1.53,0.77,0.77,1.16,0.87,2827.89,2010
SHTFG,8/10/2018,Pre,111_2,2,43,1.31,0.63,0.68,0.95,0.78,2209.95,1264
SHTFG,8/24/2018,Pre,211_1,10,59,1.8,0.62,0.61,0.93,0.76,2471.35,1717
SHTFG,8/10/2018,Pre,121_1,7,55,1.2,0.59,0.64,0.89,0.74,2209.95,1619
SHTFG,8/24/2018,Pre,111_2,9,45,1.67,0.58,0.6,0.88,0.74,2471.35,1322
SHTFG,8/10/2018,Pre,121_1,2,58,1.31,0.61,0.64,0.91,0.76,2209.95,1685
SHTFG,8/24/2018,Pre,211_2,6,88,1.76,0.61,0.62,0.92,0.76,2471.35,2540
SHTFG,8/24/2018,Pre,111_2,3,90,1.68,0.6,0.61,0.9,0.75,2471.35,2599
SHTFG,8/10/2018,Pre,121_2,3,83,1.32,0.64,0.68,0.97,0.78,2209.95,2390
SHTFG,8/24/2018,Pre,111_2,4,96,1.77,0.61,0.61,0.92,0.76,2471.35,2759
SHTFG,8/10/2018,Pre,211_1,4,59,1.29,0.61,0.65,0.92,0.76,2209.95,1704
SHTFG,9/12/2018,Pre,211_1,12,74,1.45,0.74,0.75,1.11,0.85,2827.89,2118
SHTFG,8/10/2018,Pre,121_2,9,23,1.09,0.56,0.62,0.83,0.71,2209.95,651
SHTFG,8/10/2018,Pre,121_2,6,98,1.37,0.67,0.7,1.01,0.8,2209.95,2771
SHTFG,9/28/2018,Pre,214_1,8,79,1.31,0.66,0.7,0.99,0.8,3079.29,2214
SHTFG,8/10/2018,Pre,111_2,7,105,1.48,0.69,0.72,1.04,0.82,2209.95,2943
SHTFG,8/10/2018,Pre,111_1,4,66,1.34,0.64,0.68,0.96,0.78,2209.95,1829
SHTFG,8/10/2018,Pre,211_2,6,88,1.44,0.68,0.7,1.02,0.81,2209.95,2439
SHTFG,8/24/2018,Pre,211_2,5,73,1.7,0.6,0.61,0.89,0.75,2471.35,1999
SHTFG,8/10/2018,Pre,111_1,11,72,1.47,0.67,0.68,1,0.8,2209.95,1995
SHTFG,9/12/2018,Pre,111_2,6,49,1.19,0.64,0.69,0.96,0.78,2827.89,1335
SHTFG,8/10/2018,Pre,121_2,4,97,1.43,0.66,0.69,0.99,0.8,2209.95,2638
SHTFG,8/10/2018,Pre,111_2,5,105,1.48,0.69,0.71,1.03,0.82,2209.95,2833
SHTFG,8/10/2018,Pre,214_2,8,119,1.53,0.71,0.73,1.06,0.83,2209.95,3229
SHTFG,8/24/2018,Pre,121_2,3,87,1.67,0.58,0.6,0.87,0.74,2471.35,2342
SHTFG,8/10/2018,Pre,211_1,3,58,1.25,0.62,0.66,0.92,0.76,2209.95,1574
SHTFG,8/10/2018,Pre,111_1,5,65,1.39,0.64,0.68,0.97,0.78,2209.95,1727
SHTFG,8/24/2018,Pre,121_2,5,96,1.7,0.6,0.6,0.89,0.75,2471.35,2547
SHTFG,11/7/2018,Pre,111_1,1,79,1.46,0.63,0.64,0.94,0.77,3358.76,2086
SHTFG,8/10/2018,Pre,111_2,4,101,1.47,0.69,0.72,1.03,0.81,2209.95,2663
SHTFG,8/10/2018,Pre,211_2,5,77,1.32,0.63,0.68,0.94,0.77,2209.95,2019
SHTFG,8/10/2018,Pre,211_2,4,95,1.4,0.67,0.7,1,0.8,2209.95,2490
SHTFG,8/24/2018,Pre,211_2,8,31,1.38,0.55,0.57,0.82,0.71,2471.35,806
SHTFG,8/10/2018,Pre,111_1,12,71,1.36,0.66,0.69,0.98,0.79,2209.95,1831
SHTFG,8/10/2018,Pre,111_2,6,107,1.48,0.69,0.71,1.03,0.82,2209.95,2758
SHTFG,8/10/2018,Pre,121_1,5,33,1.22,0.58,0.63,0.87,0.74,2209.95,849
SHTFG,8/24/2018,Pre,111_1,6,78,1.76,0.61,0.61,0.92,0.76,2471.35,1991
SHTFG,9/12/2018,Pre,111_1,5,39,1.22,0.64,0.68,0.96,0.78,2827.89,989
SHTFG,8/24/2018,Pre,111_1,8,77,2.03,0.69,0.67,1.03,0.81,2471.35,1971
SHTFG,8/10/2018,Pre,211_1,1,27,1.11,0.56,0.62,0.84,0.72,2209.95,675
SHTFG,8/10/2018,Pre,214_1,6,59,1.33,0.63,0.67,0.95,0.78,2209.95,1499
SHTFG,8/24/2018,Pre,111_1,12,73,1.86,0.62,0.62,0.93,0.77,2471.35,1838
SHTFG,8/10/2018,Pre,211_1,7,62,1.33,0.63,0.67,0.95,0.77,2209.95,1553
SHTFG,9/12/2018,Pre,211_2,9,161,1.78,0.84,0.82,1.25,0.91,2827.89,4052
SHTFG,11/7/2018,Pre,121_2,4,199,1.67,0.68,0.7,1.03,0.81,3358.76,5002
SHTFG,8/24/2018,Pre,111_1,10,70,1.69,0.6,0.61,0.9,0.75,2471.35,1738
SHTFG,9/12/2018,Pre,111_1,11,98,1.49,0.75,0.76,1.12,0.86,2827.89,2434
SHTFG,8/10/2018,Pre,211_1,10,45,1.33,0.63,0.66,0.94,0.77,2209.95,1126
SHTFG,8/24/2018,Pre,211_2,2,60,1.94,0.62,0.61,0.93,0.77,2471.35,1477
SHTFG,9/12/2018,Pre,111_2,9,155,1.78,0.83,0.83,1.25,0.91,2827.89,3771
SHTFG,8/10/2018,Pre,121_1,13,38,1.24,0.6,0.63,0.89,0.75,2209.95,923
SHTFG,8/10/2018,Pre,214_2,4,57,1.3,0.61,0.65,0.92,0.76,2209.95,1387
SHTFG,8/10/2018,Pre,121_2,5,98,1.41,0.67,0.7,1.01,0.81,2209.95,2371
SHTFG,9/12/2018,Pre,211_1,2,74,1.5,0.75,0.77,1.13,0.86,2827.89,1784
SHTFG,8/24/2018,Pre,121_1,7,58,1.74,0.56,0.56,0.84,0.72,2471.35,1406
SHTFG,8/24/2018,Pre,211_1,12,57,1.92,0.61,0.6,0.91,0.76,2471.35,1371
SHTFG,8/10/2018,Pre,111_1,13,28,1.27,0.59,0.64,0.89,0.75,2209.95,674
SHTFG,9/12/2018,Pre,211_1,4,64,1.48,0.74,0.75,1.11,0.85,2827.89,1542
SHTFG,8/24/2018,Pre,121_2,1,54,1.68,0.59,0.59,0.88,0.74,2471.35,1286
SHTFG,9/12/2018,Pre,111_1,10,103,1.47,0.75,0.77,1.12,0.86,2827.89,2424
SHTFG,9/12/2018,Pre,111_1,3,56,1.36,0.73,0.75,1.1,0.84,2827.89,1306
SHTFG,8/10/2018,Pre,121_1,6,36,1.15,0.57,0.62,0.85,0.72,2209.95,840
SHTFG,9/12/2018,Pre,111_1,12,103,1.48,0.74,0.75,1.12,0.85,2827.89,2414
SHTFG,8/10/2018,Pre,111_1,3,64,1.38,0.64,0.68,0.96,0.78,2209.95,1500
SHTFG,9/28/2018,Pre,111_2,6,106,1.59,0.75,0.76,1.12,0.85,3079.29,2464
SHTFG,9/28/2018,Pre,211_2,6,161,1.69,0.79,0.79,1.18,0.88,3079.29,3751
SHTFG,9/12/2018,Pre,111_1,1,71,1.42,0.74,0.76,1.11,0.85,2827.89,1654
SHTFG,8/24/2018,Pre,121_1,11,32,1.58,0.56,0.59,0.84,0.72,2471.35,731
SHTFG,9/12/2018,Pre,211_2,6,90,1.59,0.77,0.78,1.15,0.87,2827.89,2036
SHTFG,8/10/2018,Pre,211_1,12,52,1.31,0.63,0.66,0.94,0.77,2209.95,1155
SHTFG,8/10/2018,Pre,211_1,5,50,1.27,0.62,0.66,0.94,0.77,2209.95,1117
SHTFG,8/24/2018,Pre,111_1,3,30,1.42,0.55,0.56,0.82,0.71,2471.35,660
SHTFG,8/10/2018,Pre,111_1,6,67,1.35,0.64,0.68,0.96,0.78,2209.95,1447
SHTFG,9/12/2018,Pre,211_1,1,77,1.51,0.76,0.77,1.13,0.86,2827.89,1677
SHTFG,11/7/2018,Pre,111_1,6,52,1.48,0.63,0.64,0.94,0.77,3358.76,1125
SHTFG,9/28/2018,Pre,111_2,5,226,1.71,0.76,0.76,1.14,0.86,3079.29,4876
SHTFG,8/10/2018,Pre,211_2,3,60,1.31,0.63,0.67,0.95,0.77,2209.95,1303
SHTFG,8/24/2018,Pre,111_1,11,76,1.81,0.62,0.61,0.93,0.76,2471.35,1628
SHTFG,8/24/2018,Pre,111_1,1,41,1.71,0.59,0.59,0.88,0.74,2471.35,879
SHTFG,9/28/2018,Pre,111_2,3,228,1.7,0.76,0.77,1.14,0.87,3079.29,4890
SHTFG,9/12/2018,Pre,111_2,2,185,1.71,0.82,0.81,1.23,0.9,2827.89,3968
SHTFG,8/10/2018,Pre,214_2,3,31,1.26,0.6,0.65,0.9,0.75,2209.95,670
SHTFG,9/12/2018,Pre,211_2,4,188,1.67,0.81,0.81,1.22,0.9,2827.89,4006
SHTFG,11/7/2018,Pre,121_2,5,201,1.73,0.71,0.72,1.07,0.83,3358.76,4255
SHTFG,8/10/2018,Pre,111_2,8,110,1.47,0.69,0.72,1.03,0.81,2209.95,2320
SHTFG,8/10/2018,Pre,214_1,11,40,1.26,0.6,0.64,0.89,0.75,2209.95,836
SHTFG,9/12/2018,Pre,211_1,6,44,1.26,0.66,0.69,0.99,0.79,2827.89,917
SHTFG,11/7/2018,Pre,121_2,1,175,1.35,0.57,0.6,0.86,0.73,3358.76,3652
SHTFG,9/28/2018,Pre,111_2,2,231,1.75,0.78,0.78,1.16,0.87,3079.29,4777
SHTFG,8/24/2018,Pre,111_1,7,62,1.67,0.63,0.64,0.94,0.77,2471.35,1256
SHTFG,9/28/2018,Pre,121_2,6,205,1.61,0.72,0.73,1.08,0.84,3079.29,4149
SHTFG,11/7/2018,Pre,111_2,10,149,1.38,0.61,0.63,0.91,0.76,3358.76,3008
SHTFG,8/24/2018,Pre,111_2,1,67,1.59,0.58,0.6,0.87,0.74,2471.35,1346
SHTFG,8/10/2018,Pre,121_2,2,33,1.21,0.58,0.63,0.87,0.74,2209.95,669
SHTFG,8/24/2018,Pre,121_2,2,46,1.7,0.59,0.6,0.89,0.75,2471.35,926
SHTFG,9/28/2018,Pre,211_1,10,186,1.54,0.75,0.76,1.12,0.86,3079.29,3694
SHTFG,9/12/2018,Pre,211_2,5,184,1.65,0.8,0.79,1.19,0.89,2827.89,3646
SHTFG,8/24/2018,Pre,111_2,2,56,1.76,0.6,0.6,0.9,0.75,2471.35,1096
SHTFG,8/24/2018,Pre,211_1,9,60,1.96,0.64,0.64,0.96,0.78,2471.35,1173
SHTFG,11/7/2018,Pre,121_1,8,82,1.53,0.66,0.67,0.99,0.79,3358.76,1606
SHTFG,9/12/2018,Pre,111_2,5,183,1.6,0.78,0.79,1.18,0.88,2827.89,3564
SHTFG,9/28/2018,Pre,111_2,7,116,1.56,0.73,0.74,1.09,0.84,3079.29,2248
SHTFG,8/24/2018,Pre,211_2,1,42,1.67,0.59,0.6,0.88,0.74,2471.35,821
SHTFG,9/28/2018,Pre,121_2,8,216,1.75,0.78,0.78,1.17,0.88,3079.29,4178
SHTFG,9/12/2018,Pre,211_1,13,88,1.53,0.77,0.78,1.16,0.87,2827.89,1695
SHTFG,9/28/2018,Pre,121_2,6,117,1.61,0.72,0.73,1.08,0.84,3079.29,2220
SHTFG,9/28/2018,Pre,121_2,9,219,1.79,0.78,0.78,1.17,0.88,3079.29,4158
SHTFG,9/12/2018,Pre,211_1,3,66,1.45,0.73,0.74,1.09,0.84,2827.89,1245
SHTFG,9/28/2018,Pre,214_2,9,222,1.71,0.79,0.8,1.19,0.89,3079.29,4141
SHTFG,8/10/2018,Pre,214_2,7,114,1.45,0.68,0.7,1.01,0.81,2209.95,2086
SHTFG,9/12/2018,Pre,211_2,7,124,1.67,0.81,0.8,1.21,0.89,2827.89,2274
SHTFG,9/28/2018,Pre,111_1,11,182,1.52,0.72,0.73,1.08,0.84,3079.29,3310
SHTFG,9/28/2018,Pre,214_2,10,237,1.76,0.78,0.78,1.17,0.88,3079.29,4297
SHTFG,8/24/2018,Pre,111_1,13,40,1.73,0.61,0.62,0.91,0.76,2471.35,725
SHTFG,8/10/2018,Pre,214_2,6,113,1.4,0.66,0.69,0.99,0.79,2209.95,2035
SHTFG,9/12/2018,Pre,211_2,10,145,1.79,0.84,0.82,1.26,0.91,2827.89,2610
SHTFG,9/28/2018,Pre,214_2,1,135,1.58,0.76,0.77,1.14,0.87,3079.29,2394
SHTFG,9/12/2018,Pre,111_1,2,67,1.42,0.74,0.75,1.1,0.85,2827.89,1183
SHTFG,9/28/2018,Pre,121_2,4,211,1.67,0.75,0.75,1.13,0.86,3079.29,3707
SHTFG,9/12/2018,Pre,211_1,10,111,1.57,0.78,0.78,1.17,0.88,2827.89,1947
SHTFG,9/28/2018,Pre,111_1,10,180,1.48,0.72,0.74,1.08,0.84,3079.29,3141
SHTFG,9/28/2018,Pre,214_1,3,131,1.47,0.71,0.73,1.06,0.83,3079.29,2279
SHTFG,11/7/2018,Pre,111_1,3,79,1.43,0.64,0.65,0.96,0.78,3358.76,1373
SHTFG,9/28/2018,Pre,111_1,3,111,1.54,0.71,0.72,1.07,0.83,3079.29,1921
SHTFG,9/28/2018,Pre,111_1,1,128,1.58,0.72,0.74,1.08,0.84,3079.29,2194
SHTFG,9/12/2018,Pre,111_2,10,146,1.67,0.82,0.81,1.22,0.9,2827.89,2495
SHTFG,9/12/2018,Pre,211_1,7,57,1.25,0.66,0.68,0.98,0.79,2827.89,981
SHTFG,9/28/2018,Pre,211_1,9,189,1.62,0.77,0.78,1.16,0.87,3079.29,3228
SHTFG,9/12/2018,Pre,211_2,1,61,1.41,0.73,0.74,1.09,0.84,2827.89,1029
SHTFG,9/12/2018,Pre,111_1,9,118,1.56,0.78,0.77,1.17,0.88,2827.89,1984
SHTFG,9/28/2018,Pre,121_2,5,165,1.68,0.75,0.76,1.12,0.85,3079.29,2763
SHTFG,9/12/2018,Pre,111_2,8,152,1.7,0.82,0.82,1.23,0.9,2827.89,2515
SHTFG,9/28/2018,Pre,214_1,11,162,1.52,0.73,0.75,1.1,0.85,3079.29,2647
SHTFG,9/12/2018,Pre,111_2,3,195,1.72,0.82,0.8,1.23,0.9,2827.89,3192
SHTFG,9/28/2018,Pre,214_1,12,141,1.59,0.75,0.76,1.12,0.86,3079.29,2307
SHTFG,9/28/2018,Pre,214_2,3,228,1.75,0.79,0.8,1.19,0.89,3079.29,3715
SHTFG,9/28/2018,Pre,214_1,13,123,1.58,0.76,0.76,1.14,0.86,3079.29,1977
SHTFG,9/28/2018,Pre,211_2,1,126,1.64,0.75,0.76,1.13,0.86,3079.29,2033
SHTFG,9/28/2018,Pre,214_1,10,148,1.56,0.73,0.75,1.1,0.85,3079.29,2360
SHTFG,8/10/2018,Pre,111_1,7,42,1.39,0.65,0.69,0.97,0.79,2209.95,659
SHTFG,8/10/2018,Pre,214_2,5,74,1.37,0.63,0.66,0.95,0.77,2209.95,1171
SHTFG,11/7/2018,Pre,111_1,4,99,1.45,0.65,0.66,0.97,0.78,3358.76,1556
SHTFG,9/28/2018,Pre,211_1,7,122,1.45,0.71,0.73,1.06,0.83,3079.29,1896
SHTFG,9/28/2018,Pre,211_1,6,115,1.48,0.72,0.74,1.07,0.83,3079.29,1782
SHTFG,9/12/2018,Pre,111_2,4,199,1.73,0.82,0.8,1.23,0.9,2827.89,3048
SHTFG,11/7/2018,Pre,111_1,7,75,1.33,0.6,0.63,0.9,0.75,3358.76,1152
SHTFG,9/28/2018,Pre,214_2,7,220,1.75,0.8,0.81,1.2,0.89,3079.29,3303
SHTFG,11/7/2018,Pre,121_2,3,82,1.52,0.67,0.69,1.01,0.8,3358.76,1216
SHTFG,11/7/2018,Pre,111_1,5,100,1.42,0.64,0.65,0.95,0.78,3358.76,1486
SHTFG,9/28/2018,Pre,214_1,2,159,1.48,0.71,0.73,1.07,0.83,3079.29,2354
SHTFG,9/12/2018,Pre,211_1,11,118,1.49,0.76,0.76,1.13,0.86,2827.89,1710
SHTFG,9/28/2018,Pre,111_1,13,131,1.55,0.72,0.73,1.08,0.84,3079.29,1892
SHTFG,9/28/2018,Pre,214_1,4,136,1.51,0.7,0.71,1.04,0.82,3079.29,1971
SHTFG,9/28/2018,Pre,214_1,5,144,1.51,0.7,0.73,1.06,0.83,3079.29,2023
SHTFG,9/28/2018,Pre,211_1,1,151,1.62,0.75,0.76,1.13,0.86,3079.29,2086
SHTFG,9/28/2018,Pre,111_2,9,221,1.68,0.77,0.78,1.15,0.87,3079.29,3044
SHTFG,11/7/2018,Pre,121_1,11,84,1.4,0.62,0.65,0.93,0.76,3358.76,1158
SHTFG,11/7/2018,Pre,121_2,6,203,1.59,0.7,0.71,1.05,0.83,3358.76,2769
SHTFG,9/28/2018,Pre,211_1,4,133,1.55,0.73,0.75,1.09,0.84,3079.29,1806
SHTFG,11/7/2018,Pre,121_2,2,154,1.28,0.56,0.6,0.85,0.72,3358.76,2084
SHTFG,9/12/2018,Pre,111_1,4,54,1.3,0.7,0.73,1.05,0.82,2827.89,730
SHTFG,9/28/2018,Pre,211_1,3,130,1.57,0.74,0.75,1.11,0.85,3079.29,1723
