interval_from,interval_to,CB_min,CB_max,CB_mean,CB_stDev,Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2025-05-08,2025-05-09,0.3889999985694885,0.5860000252723694,0.4768947149527776,0.049046627196281604,65536,0,0.4690000116825104
2025-05-09,2025-05-10,0.3799999952316284,0.5730000138282776,0.46639152558918623,0.048132008882101604,65536,0,0.45899999141693115
2025-05-10,2025-05-11,0.37299999594688416,0.5419999957084656,0.45340463337470116,0.04540458828611345,65536,0,0.45100000500679016
2025-05-11,2025-05-12,0.3619999885559082,0.5260000228881836,0.44120498624351323,0.0443776657668727,65536,0,0.43799999356269836
2025-05-12,2025-05-13,0.35199999809265137,0.5120000243186951,0.4293291335657189,0.043455841481178106,65536,0,0.42399999499320984
2025-05-13,2025-05-14,0.34700000286102295,0.5059999823570251,0.42454383935910084,0.04321683916134915,65536,0,0.4180000126361847
2025-05-14,2025-05-15,0.34200000762939453,0.5019999742507935,0.41987358034248223,0.0431061092573285,65536,0,0.41200000047683716
2025-05-15,2025-05-16,0.33500000834465027,0.4950000047683716,0.41214724665406044,0.04250917241290727,65536,0,0.40400001406669617
2025-05-16,2025-05-17,0.32600000500679016,0.48899999260902405,0.40520220833104914,0.042715819202416946,65536,0,0.3970000147819519
2025-05-17,2025-05-18,0.34200000762939453,0.4350000023841858,0.39200921749534084,0.02123658191087975,65536,0,0.38999998569488525
2025-05-18,2025-05-19,0.3160000145435333,0.4480000138282776,0.38053926123666554,0.03414648284838681,65536,0,0.3840000033378601
2025-05-19,2025-05-20,0.30799999833106995,0.43700000643730164,0.37115965443035837,0.03344703341027536,65536,0,0.37400001287460327
2025-05-20,2025-05-21,0.23100000619888306,0.4729999899864197,0.3647938229719288,0.06309793897020177,65536,0,0.35100001096725464
2025-05-21,2025-05-22,0.2809999883174896,0.45399999618530273,0.36223461974077736,0.0467379439877306,65536,0,0.3619999885559082
2025-05-22,2025-05-23,0.2240000069141388,0.4779999852180481,0.362144286866622,0.0660491723860371,65536,0,0.35600000619888306
2025-05-23,2025-05-24,0.2240000069141388,0.4779999852180481,0.36233700498087484,0.06609609609164312,65536,0,0.35600000619888306
2025-05-24,2025-05-25,0.2240000069141388,0.4779999852180481,0.3625782310741711,0.06619766367073616,65536,0,0.3569999933242798
2025-05-25,2025-05-26,0.22499999403953552,0.4790000021457672,0.3629170381782399,0.06625030413403994,65536,0,0.3569999933242798
2025-05-26,2025-05-27,0.22499999403953552,0.48100000619888306,0.36432096961061544,0.06649916845257667,65536,0,0.3580000102519989
2025-05-27,2025-05-28,0.22599999606609344,0.4819999933242798,0.36543769668196185,0.06665001122725174,65536,0,0.35899999737739563
2025-05-28,2025-05-29,0.22699999809265137,0.48399999737739563,0.3667200622680888,0.06680141316627942,65536,0,0.3610000014305115
2025-05-29,2025-05-30,0.2280000001192093,0.4860000014305115,0.36823080301382805,0.06702677162794714,65536,0,0.3619999885559082
2025-05-30,2025-05-31,0.3440000116825104,0.414000004529953,0.3841529855180885,0.017629489284734172,65536,0,0.38600000739097595
2025-05-31,2025-06-01,0.37400001287460327,0.414000004529953,0.3951504510278022,0.008939076629927557,65536,0,0.3959999978542328
2025-06-01,2025-06-02,0.3840000033378601,0.42500001192092896,0.4058782056281429,0.009217151033216865,65536,0,0.40700000524520874
2025-06-02,2025-06-03,0.39500001072883606,0.4359999895095825,0.4168193367045188,0.009376888942971584,65536,0,0.4180000126361847
