interval_from,interval_to,LST_min_K,LST_max_K,LST_mean_K,LST_stDev_K,Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2024-07-18,2024-07-19,304.0400085449219,305.79998779296875,305.5041348934144,0.542835589431017,65536,0,305.79998779296875
2024-07-19,2024-07-20,303.6600036621094,305.3999938964844,305.1063272953053,0.5369426087590085,65536,0,305.3999938964844
2024-07-20,2024-07-21,300.7200012207031,302.2799987792969,302.01832056045515,0.4810280883998494,65536,0,302.2799987792969
2024-07-21,2024-07-22,300.29998779296875,301.82000732421875,301.5676208734539,0.468140053254821,65536,0,301.82000732421875
2024-07-22,2024-07-23,302.260009765625,303.9599914550781,303.67561995983226,0.524016785869143,65536,0,303.9599914550781
2024-07-23,2024-07-24,307.79998779296875,309.92999267578125,309.57397651672267,0.6565071550089316,65536,0,309.92999267578125
2024-07-25,2024-07-26,310.5899963378906,313.0,312.6035131216033,0.7415013364642429,65536,0,313.0
2024-07-27,2024-07-28,297.8399963378906,299.2799987792969,299.0462100505838,0.4424848429508016,65536,0,299.2799987792969
2024-07-28,2024-07-29,302.9200134277344,304.739990234375,304.43757510185264,0.5605684691495983,65536,0,304.739990234375
2024-07-29,2024-07-30,313.1600036621094,315.8599853515625,315.4219437837611,0.8295990746094948,65536,0,315.8599853515625
2024-07-30,2024-07-31,305.1600036621094,307.2200012207031,306.8864071369175,0.6328522069357442,65536,0,307.2200012207031
2024-07-31,2024-08-01,309.9800109863281,312.4599914550781,312.05585837363674,0.762312898045349,65536,0,312.4599914550781
2024-08-01,2024-08-02,312.6499938964844,315.3699951171875,314.9248372316419,0.836439319797618,65536,0,315.3699951171875
2024-08-03,2024-08-04,313.07000732421875,315.8699951171875,315.41608870029376,0.8602656801050729,65536,0,315.8699951171875
2024-08-04,2024-08-05,313.4200134277344,316.260009765625,315.8017274141295,0.8722072939840222,65536,0,316.260009765625
2024-08-05,2024-08-06,314.8500061035156,317.7300109863281,317.2648893594785,0.8845570627753224,65536,0,317.7300109863281
2024-08-06,2024-08-07,303.6199951171875,305.6499938964844,305.324607610701,0.6231003653004091,65536,0,305.6499938964844
2024-08-07,2024-08-08,302.9800109863281,305.010009765625,304.6821526288955,0.6234903659991253,65536,0,305.010009765625
2024-08-08,2024-08-09,303.8699951171875,305.9800109863281,305.64094614982196,0.6477924648327562,65536,0,305.9800109863281
2024-08-10,2024-08-11,303.7099914550781,305.8299865722656,305.4922935962682,0.6504132331417752,65536,0,305.8299865722656
2024-08-12,2024-08-13,298.57000732421875,300.2799987792969,300.0043783187814,0.5251140423318074,65536,0,300.2799987792969
2024-08-13,2024-08-14,299.3999938964844,301.20001220703125,300.91700088977666,0.5517556886260969,65536,0,301.20001220703125
2024-08-14,2024-08-15,299.67999267578125,301.510009765625,301.2237173318876,0.5607824506919675,65536,0,301.510009765625
2024-08-15,2024-08-16,310.8399963378906,313.6700134277344,313.2226608991594,0.8677801974476935,65536,0,313.6700134277344
2024-08-16,2024-08-17,309.8399963378906,312.6099853515625,312.18151509762004,0.8483123230192511,65536,0,312.6099853515625
2024-08-17,2024-08-18,309.29998779296875,312.0199890136719,311.59452283382564,0.833498766850112,65536,0,312.0199890136719
2024-08-19,2024-08-20,306.7300109863281,309.260009765625,308.86024427413923,0.7757633345515588,65536,0,309.260009765625
2024-08-20,2024-08-21,301.6600036621094,303.739990234375,303.4115923643113,0.6377443278608425,65536,0,303.739990234375
2024-08-21,2024-08-22,302.7900085449219,304.9800109863281,304.63219761847995,0.6717475321537293,65536,0,304.9800109863281
2024-08-22,2024-08-23,304.6700134277344,307.04998779296875,306.67647707462396,0.7294461255961247,65536,0,307.04998779296875
2024-08-23,2024-08-24,306.67999267578125,309.260009765625,308.85969269275483,0.79025453610363,65536,0,309.260009765625
2024-08-24,2024-08-25,294.3500061035156,295.75,295.53288888931075,0.42880424862267463,65536,0,295.75
2024-08-26,2024-08-27,314.489990234375,317.7799987792969,317.2700405120882,1.0076714441458559,65536,0,317.7799987792969
2024-08-28,2024-08-29,309.8399963378906,312.82000732421875,312.3537933826447,0.9131831068206799,65536,0,312.82000732421875
2024-08-29,2024-08-30,313.6400146484375,317.0,316.4749979972857,1.029546863856454,65536,0,317.0
2024-08-30,2024-08-31,310.6600036621094,313.760009765625,313.28067135810966,0.9493632045771757,65536,0,313.760009765625
2024-08-31,2024-09-01,308.7799987792969,311.70001220703125,311.24527966976405,0.8945670532236166,65536,0,311.70001220703125
