interval_from,interval_to,SWC_min(m3/m3),SWC_max(m3/m3),SWC_mean(m3/m3),SWC_stDev(m3/m3),Gray_B0_sampleCount,Gray_B0_noDataCount,Gray_B0_percentiles_50.0
2025-05-08,2025-05-09,0.3179999887943268,0.38499999046325684,0.37187108187936424,0.019256770986601137,65536,0,0.37599998712539673
2025-05-10,2025-05-11,0.28999999165534973,0.34299999475479126,0.33269140112679557,0.015249568293657036,65536,0,0.335999995470047
2025-05-11,2025-05-12,0.2680000066757202,0.32199999690055847,0.3115820296807217,0.015555878899414528,65536,0,0.3149999976158142
2025-05-13,2025-05-14,0.23499999940395355,0.2840000092983246,0.2747734378790521,0.014166265561020207,65536,0,0.27799999713897705
2025-05-14,2025-05-15,0.19900000095367432,0.25099998712539673,0.24144531250931162,0.015088440085938303,65536,0,0.24500000476837158
2025-05-16,2025-05-17,0.20499999821186066,0.26100000739097595,0.2510078110499317,0.01632051910238231,65536,0,0.2549999952316284
2025-05-18,2025-05-19,0.18700000643730164,0.25,0.23795312485890377,0.018172289320380144,65536,0,0.24199999868869781
2025-05-19,2025-05-20,0.19300000369548798,0.25699999928474426,0.2454882814781718,0.01862960858921674,65536,0,0.25
2025-05-21,2025-05-22,0.2619999945163727,0.30799999833106995,0.2965234415605642,0.012813242569477901,65536,0,0.2980000078678131
2025-05-22,2025-05-23,0.23000000417232513,0.27000001072883606,0.26046874956228017,0.011198450122027732,65536,0,0.2619999945163727
2025-05-24,2025-05-25,0.18199999630451202,0.2329999953508377,0.21710936876479378,0.014034685787532116,65536,0,0.21699999272823334
2025-05-26,2025-05-27,0.23000000417232513,0.28200000524520874,0.26600000343750907,0.01430908831648466,65536,0,0.26600000262260437
2025-05-27,2025-05-28,0.21400000154972076,0.2669999897480011,0.2508906143484645,0.01458500313684667,65536,0,0.25099998712539673
2025-05-29,2025-05-30,0.20499999821186066,0.2630000114440918,0.2444101606379267,0.01596969346219071,65536,0,0.24400000274181366
2025-05-30,2025-05-31,0.22200000286102295,0.27000001072883606,0.25443750817794236,0.013221522266998104,65536,0,0.2540000081062317
2025-06-01,2025-06-02,0.21699999272823334,0.26499998569488525,0.24814842926571007,0.01329860542343926,65536,0,0.24699999392032623
